Date Time,Time_Of_Day,Kitchen(M019),Living(M020),Master Bedroom(M007),Office(M027),Bedroom(M024),Front Door(D001),Back Door(D002),label
2010-11-04 05:48:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-11-04 05:51:00,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
2010-11-04 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1
2010-11-04 06:16:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-11-04 08:13:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-11-04 08:33:00,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
2010-11-04 08:39:00,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1
2010-11-04 08:57:00,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1
2010-11-04 09:21:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-11-04 09:27:00,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
2010-11-04 09:47:00,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
2010-11-04 09:50:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-11-04 10:04:00,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
2010-11-04 10:49:00,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
2010-11-04 10:58:00,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
2010-11-04 11:40:00,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
2010-11-04 11:41:00,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1
2010-11-04 11:42:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-11-04 12:12:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
2010-11-04 13:27:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-11-04 13:31:00,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
2010-11-04 13:33:00,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
2010-11-04 13:51:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-11-04 14:00:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-11-04 14:42:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-11-04 14:43:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-11-04 14:46:00,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
2010-11-04 14:53:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-11-04 16:50:00,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-11-04 17:28:00,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
2010-11-04 17:45:00,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-11-04 17:46:00,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-11-04 17:53:00,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-11-04 17:56:00,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-11-04 18:29:00,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-11-04 19:04:00,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-11-04 19:13:00,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-11-04 19:36:00,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
2010-11-04 20:04:00,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-11-04 20:13:00,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
